priority,name,category,latitude,longitude,own_brand_note,competitor_count,competitor_brands,competitor_max_kw,source_id,next_step
HIGH,Etimesgut 2 Nolu Aile Sağlığı Merkez,clinic,39.944828,32.6491594,,0,,0.0,way/450419384,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etimesgut 3 Nolu Aile Sağlığı Merkezi,clinic,39.9472107,32.6416905,,0,,0.0,way/448298945,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etimesgut 7 Nolu Aile Sağlığı Merkezi,clinic,39.9461431,32.6585327,,0,,0.0,node/14046099707,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etimesgut 8 Nolu Aile Sağlığı Merkezi,clinic,39.9490952,32.6312999,,0,,0.0,node/13918184900,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etimesgut Aile Sağlığı Merkezi,clinic,39.9428289,32.6154638,,0,,0.0,way/446775446,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etimesgut KATEM,clinic,39.9512208,32.6250468,,0,,0.0,way/453965867,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etimesgut Ümit Tıp Merkezi,hospital,39.9491525,32.6597675,,0,,0.0,node/14167225510,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etimesgut İstasyon Aile Sağlığı Merkezi,clinic,39.9424951,32.6630592,,0,,0.0,node/4499979185,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Etlik Aile Sağlığı Merkezi,clinic,39.9812633,32.8325499,,0,,0.0,node/14178436411,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Ev Shop,mall,39.9996329,32.8692517,,0,,0.0,node/4077691047,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Evpark AVM,mall,40.0235309,32.9197813,,0,,0.0,way/207570282,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Eylül Diyaliz,clinic,39.9492503,32.6590449,,0,,0.0,node/14167225551,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,FTZ Alışveriş Merkezi,mall,39.9766784,32.8673727,,0,,0.0,way/263990054,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Farabi Sağlık Ocağı,clinic,40.0371717,32.8924751,,0,,0.0,way/273670740,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Fizik Tedavi ve Rehabilitasyon Hastanesi,hospital,39.8991791,32.7622257,,0,,0.0,way/1232848835,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Fizik Tedavi ve Rehabilitasyon Hastanesi,hospital,39.964659,32.8226394,,0,,0.0,relation/12268479,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gazeller Aile Sağlığı Merkezi,clinic,39.996933,32.8463095,,0,,0.0,node/4084939432,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gazi Üniversitesi Hastanesi,hospital,39.9338421,32.8231193,,0,,0.0,way/419244222,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gazi Üniversitesi Hastanesi Çayyolu Semt Polikliniği,clinic,39.8708164,32.6652824,,0,,0.0,way/1126118499,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gen Art Tüp Bebek Merkezi,clinic,39.8933264,32.8569987,,0,,0.0,node/247208795,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Genel Hastane,hospital,39.9638523,32.8324801,,0,,0.0,node/10077457879,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,General Zeki Doğan Mahallesi Aile Sağlığı Merkez,clinic,39.9203123,32.9055369,,0,,0.0,node/4089547235,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Gimsa,mall,39.9418199,32.6387077,,0,,0.0,way/448795680,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Göksu AVM,mall,39.9864705,32.6464931,,0,,0.0,way/56407335,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
HIGH,Göksu Aile Sağlığı Merkezi,clinic,39.9992228,32.6406012,,0,,0.0,way/1554824845,"Contact the site manager, gauge interest, send an engineer to cost the installation, then prepare a commercial offer."
